classification,reporter_code,reporter_iso3,reporter,partner_code,partner_iso3,partner,partner_is_group,flow,year,cmd_code,trade_value,is_reported_api_field,is_aggregate_api_field,source_flag,fetched_at_utc
H5,458,MYS,Malaysia,242,FJI,Fiji,False,X,2017,8542,5013196.898,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,246,FIN,Finland,False,X,2017,8542,3085307.271,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,251,FRA,France,False,X,2017,8542,523362552.006,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,268,GEO,Georgia,False,X,2017,8542,586563.312,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,276,DEU,Germany,False,X,2017,8542,1109054754.555,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,288,GHA,Ghana,False,X,2017,8542,10328.114,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,300,GRC,Greece,False,X,2017,8542,8068.738,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,344,HKG,"China, Hong Kong SAR",False,X,2017,8542,5544103296.296,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,348,HUN,Hungary,False,X,2017,8542,54965632.039,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,360,IDN,Indonesia,False,X,2017,8542,176016101.764,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,364,IRN,Iran,False,X,2017,8542,105359.809,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,372,IRL,Ireland,False,X,2017,8542,3799188.173,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,380,ITA,Italy,False,X,2017,8542,15158761.065,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,384,CIV,Côte d'Ivoire,False,X,2017,8542,3680.395,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,392,JPN,Japan,False,X,2017,8542,1468846140.259,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,404,KEN,Kenya,False,X,2017,8542,6716.418,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,410,KOR,Rep. of Korea,False,X,2017,8542,1010473539.847,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,414,KWT,Kuwait,False,X,2017,8542,55212.446,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,422,LBN,Lebanon,False,X,2017,8542,18231.276,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,430,LBR,Liberia,False,X,2017,8542,166902.097,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,446,MAC,"China, Macao SAR",False,X,2017,8542,2572288.517,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,462,MDV,Maldives,False,X,2017,8542,2154.349,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,470,MLT,Malta,False,X,2017,8542,12596770.621,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,480,MUS,Mauritius,False,X,2017,8542,83682.179,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,484,MEX,Mexico,False,X,2017,8542,178472596.166,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,490,S19,"Other Asia, nes",False,X,2017,8542,1202040541.97,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,504,MAR,Morocco,False,X,2017,8542,6162153.638,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,508,MOZ,Mozambique,False,X,2017,8542,229932.705,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,512,OMN,Oman,False,X,2017,8542,18830.47,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,524,NPL,Nepal,False,X,2017,8542,68672.763,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,528,NLD,Netherlands,False,X,2017,8542,1345211688.775,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,554,NZL,New Zealand,False,X,2017,8542,6326305.453,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,558,NIC,Nicaragua,False,X,2017,8542,2298.267,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,579,NOR,Norway,False,X,2017,8542,686699.913,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,586,PAK,Pakistan,False,X,2017,8542,4567.658,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,591,PAN,Panama,False,X,2017,8542,8751.767,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,598,PNG,Papua New Guinea,False,X,2017,8542,22750.729,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,604,PER,Peru,False,X,2017,8542,73417.407,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,608,PHL,Philippines,False,X,2017,8542,383672371.942,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,616,POL,Poland,False,X,2017,8542,7936116.401,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,620,PRT,Portugal,False,X,2017,8542,8385981.82,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,642,ROU,Romania,False,X,2017,8542,22447276.744,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,643,RUS,Russian Federation,False,X,2017,8542,1004396.207,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,682,SAU,Saudi Arabia,False,X,2017,8542,736651.192,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,686,SEN,Senegal,False,X,2017,8542,1065853.961,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,688,SRB,Serbia,False,X,2017,8542,3887.423,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,699,IND,India,False,X,2017,8542,263191034.885,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,702,SGP,Singapore,False,X,2017,8542,8453416437.536,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,703,SVK,Slovakia,False,X,2017,8542,13585481.834,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,704,VNM,Viet Nam,False,X,2017,8542,222479058.96,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,710,ZAF,South Africa,False,X,2017,8542,210752.686,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,724,ESP,Spain,False,X,2017,8542,9439198.686,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,752,SWE,Sweden,False,X,2017,8542,2267970.799,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
